Pclass,Age,family_group,Cabin,female,male,Cherbourg,Queenstown,Southampton,Fare_Transformed_Capped,Survived
3,22,1,0,0,1,0,0,1,1.845498323600491,0
1,38,1,1,1,0,1,0,0,3.4735528816954337,1
3,26,0,0,1,0,0,0,1,1.907843051895681,1
1,35,1,1,1,0,0,0,1,3.2654881017746966,1
3,35,0,0,0,1,0,0,1,1.9188364522433752,0
3,35,0,0,0,1,0,1,0,1.9536520047779389,0
1,54,0,1,0,1,0,0,1,3.248768315642373,0
3,2,2,0,0,1,0,0,1,2.605396161810347,0
3,27,1,0,1,0,0,0,1,2.1484034460039654,1
2,14,1,0,1,0,1,0,0,2.860256705020415,1
3,4,1,1,1,0,0,0,1,2.4384237116769736,1
1,58,0,1,1,0,0,0,1,2.771056651593415,1
3,20,0,0,0,1,0,0,1,1.9188364522433752,0
3,39,2,0,0,1,0,0,1,2.888356733035295,0
3,14,0,0,1,0,0,0,1,1.9015435154820328,0
2,55,0,0,1,0,0,0,1,2.407715016035853,1
3,2,2,0,0,1,0,1,0,2.837376040612847,0
2,37,0,0,0,1,0,0,1,2.259024621429613,1
3,31,1,0,1,0,0,0,1,2.4922053595215146,0
3,14,0,0,1,0,1,0,0,1.843086038761421,1
2,35,0,0,0,1,0,0,1,2.756051030125115,0
2,34,0,1,0,1,0,0,1,2.259024621429613,1
3,15,0,0,1,0,0,1,0,1.917018390415412,1
1,28,0,1,0,1,0,0,1,2.9789394024969,1
3,8,2,0,1,0,0,0,1,2.605396161810347,0
3,38,2,0,1,0,0,0,1,2.8909257396784875,1
3,34,0,0,0,1,1,0,0,1.843086038761421,0
1,19,2,1,0,1,0,0,1,4.345272476100541,0
3,19,0,0,1,0,0,1,0,1.9037740274337904,1
3,27,0,0,0,1,0,0,1,1.905251400396637,0
1,40,0,0,0,1,1,0,0,2.801981348199806,0
1,44,1,1,1,0,1,0,0,3.97629405043203,1
3,18,0,0,1,0,0,1,0,1.8921740345443931,1
1,28,1,0,0,1,1,0,0,3.5734636320732154,0
1,42,1,0,0,1,0,0,1,3.2506460749423884,0
3,20,0,0,0,1,1,0,0,1.84349184796852,1
3,21,0,0,0,1,0,0,1,1.9188364522433752,0
3,18,1,0,1,0,0,0,1,2.4922053595215146,0
